strategy_date,training_date,audit_status,audit_scope,audit_result,lesson_type,lesson_note,rank,code,name,push_level,fast_level,fast_score,market_price_date,market_lag_days,market_source,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,return_1d_pct,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,max_gain_5d_pct,capture_type,snapshot_time,reasons,risks,strategy_version
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,26,000603,盛达资源,收盘强势观察,下个交易日主盯,104.0,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v2强势延续修正；v2连榜升温修正；v2低分涨停修正；收盘强势，次日确认；v1每日精选入选,次日高开或一字风险,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,3,002428,云南锗业,收盘强势观察,下个交易日主盯,98.65,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；市场强势且个股相对强势；收盘强势，次日确认；v1每日精选入选,仍在20日线下方；热度可能进入后段；次日高开或一字风险,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,44,600403,大有能源,收盘强势观察,下个交易日主盯,92.0,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正；收盘强势，次日确认；v1每日精选入选,次日高开或一字风险,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,46,000981,山子高科,收盘强势观察,下个交易日主盯,92.0,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正；收盘强势，次日确认；v1每日精选入选,次日高开或一字风险,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,8,000725,京东方A,观察池,下个交易日主盯,91.75,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日上涨；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势,热度可能进入后段；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,12,000657,中钨高新,收盘强势观察,下个交易日主盯,88.0,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v2低分涨停修正；收盘强势，次日确认；v1每日精选入选,次日高开或一字风险,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,21,601138,工业富联,观察池,下个交易日主盯,85.75,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；持续霸榜；市场强势且个股相对强势；收盘强势，次日确认,热度可能进入后段；次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,39,603259,药明康德,不推送,下个交易日主盯,83.65,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势,人气排名明显回落,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,45,300285,国瓷材料,观察池,下个交易日主盯,81.25,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势；收盘强势，次日确认,仍在20日线下方；热度可能进入后段；次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,11,603629,利通电子,观察池,下个交易日主盯,72.95,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；人气排名明显上升；市场强势且个股相对强势；收盘强势，次日确认,热度可能进入后段；次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,7,003032,传智教育,观察池,下个交易日主盯,70.65,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日涨停附近；收在日内高位；站上20日线且不过热；持续霸榜；市场强势且个股相对强势；收盘强势，次日确认,热度可能进入后段；次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,5,600206,有研新材,观察池,下个交易日主盯,69.75,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日涨停附近；收在日内高位；温和放量；持续霸榜；人气排名明显上升；市场强势且个股相对强势；收盘强势，次日确认,近5日趋势未确认；仍在20日线下方；热度可能进入后段；次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,27,600176,中国巨石,不推送,下个交易日主盯,69.15,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日强涨；收盘承接较强；温和放量；持续霸榜；市场强势且个股相对强势,仍在20日线下方；热度可能进入后段,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,35,603039,泛微网络,不推送,下个交易日主盯,69.0,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日上涨；放量仍可控；近5日强势延续；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v2连榜升温修正,短线涨幅偏高,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,29,002407,多氟多,不推送,下个交易日主盯,65.55,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日上涨；收盘承接较强；温和放量；持续霸榜；市场强势且个股相对强势,仍在20日线下方；热度可能进入后段,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,32,603823,百合花,观察池,下个交易日主盯,65.25,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；收盘强势，次日确认,近5日趋势未确认；次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,16,000938,紫光股份,不推送,下个交易日主盯,64.55,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top20；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势,热度可能进入后段,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,57,601678,滨化股份,观察池,下个交易日主盯,63.55,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势；收盘强势，次日确认,次日高开或一字风险；v1每日精选未入前5,v1
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,22,002703,浙江世宝,观察池,下个交易日主盯,63.0,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,量能不足；短线涨幅偏高；一字或近似一字，参与点差；一字板不可买,v1
