strategy_date,training_date,analysis_window,learned_rule,fast_score,fast_level,next_session_plan,fit_reasons,rank,code,name,push_level,emotion_score,day_return_pct,pre5_return_pct,market_regime,market_1d_pct,market_5d_pct,market_price_date,market_lag_days,market_source,relative_1d_pct,relative_5d_pct,market_adjustment,close_position,volume_ratio_5,dist_ma20_pct,consecutive_days,rank_change,capture_type,snapshot_time,reasons,risks,strategy_version
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,118.6,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势排名段；命中近样本强势上榜阶段；情绪分达近期强势线；近5日涨幅落在近期胜出区间；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,3,300433,蓝思科技,观察池,92.45,11.37,33.45,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,12.33,33.01,4.0,0.607,1.85,34.61,2,10.0,intraday_1430,2026-05-18 14:30:00,人气Top3；当日涨停附近；放量仍可控；近5日强势延续；连续上榜确认；人气排名明显上升；震荡市里保持相对强势；v2连榜升温修正；v2低分涨停修正,短线涨幅偏高；偏离20日线较大；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,102.0,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；情绪分达近期强势线；近5日涨幅落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,28,000021,深科技,观察池,119.17,10.01,19.37,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,10.97,18.93,4.0,1.0,0.67,21.03,1,27.0,intraday_1430,2026-05-18 14:30:00,人气Top50；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控；v2强势延续修正；v2低分涨停修正；v3尾盘涨停延续；v3尾盘缩量强承接；v3热点早段优先,涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,100.18,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势排名段；情绪分达近期强势线；近5日涨幅落在近期胜出区间；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,2,601991,大唐发电,观察池,78.17,10.0,42.96,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,10.96,42.52,4.0,1.0,1.77,59.79,9,-1.0,intraday_1430,2026-05-18 14:30:00,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日强势延续；持续霸榜；震荡市里保持相对强势；震荡市里承接未失控,短线涨幅偏高；远离20日线过多；热度可能进入后段；v3尾盘版回避高位长连榜；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,93.65,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,90,000636,风华高科,观察池,81.45,9.52,14.3,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,10.48,13.86,4.0,0.956,1.18,19.19,1,,intraday_1430,2026-05-18 14:30:00,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；震荡市里保持相对强势；震荡市里承接未失控；v2低分涨停修正,后段人气股在偏弱环境里更谨慎；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,91.85,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,84,600183,生益科技,观察池,77.45,10.0,14.85,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,10.96,14.41,4.0,1.0,1.18,19.73,1,-50.0,intraday_1430,2026-05-18 14:30:00,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；震荡市里保持相对强势；震荡市里承接未失控；v2低分涨停修正,人气排名明显回落；后段人气股在偏弱环境里更谨慎；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,82.73,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,38,301666,大普微,观察池,57.17,15.43,-1.15,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,16.39,-1.59,4.0,0.896,1.15,39.0,1,29.0,intraday_1430,2026-05-18 14:30:00,人气Top50；当日涨停附近；收盘承接较强；温和放量；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控,近5日趋势未确认；偏离20日线较大；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,82.05,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；命中近样本强势上榜阶段；情绪分达近期强势线；收盘承接不弱于近期胜出样本；相对大盘偏强,75,600379,宝光股份,观察池,73.45,10.01,12.9,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,10.97,12.46,4.0,1.0,0.58,25.99,1,-44.0,intraday_1430,2026-05-18 14:30:00,当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；震荡市里保持相对强势；震荡市里承接未失控；v2低分涨停修正；v3尾盘缩量强承接,人气排名明显回落；后段人气股在偏弱环境里更谨慎；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,82.0,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；情绪分达近期强势线；收盘承接不弱于近期胜出样本；相对大盘偏强,36,603278,大业股份,观察池,133.18,9.99,13.75,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,10.95,13.31,4.0,1.0,0.86,28.54,3,17.0,intraday_1430,2026-05-18 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；连续上榜确认；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控；v2强势延续修正；v2连榜升温修正；v2低分涨停修正；v3尾盘涨停延续；v3尾盘缩量强承接,偏离20日线较大；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,81.63,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势层级；情绪分达近期强势线；收盘承接不弱于近期胜出样本；相对大盘偏强,49,002506,协鑫集成,观察池,99.17,10.11,9.87,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,11.07,9.43,4.0,1.0,1.89,9.57,3,-29.0,intraday_1430,2026-05-18 14:30:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；连续上榜确认；震荡市里保持相对强势；震荡市里承接未失控；v2强势延续修正；v3热点早段优先,人气排名明显回落；涨停封板不可买,v3
2026-05-18,2026-05-11,2026-05-11 -> 2026-05-18,近样本强势阈值15%，偏好推送层级=观察池，排名段=Top3、Top20、Top10，上榜阶段=连续第2天、首次上榜，情绪分不低于50。 低层级强势反哺：不推送4只: 温和放量、站上20日线且不过热、市场强势且个股相对强势、连续上榜确认。,78.05,下个交易日主盯,先看开盘分歧后的承接，强转弱或量能失控就放弃。,命中近样本强势排名段；命中近样本强势上榜阶段；情绪分达近期强势线；量比落在近期胜出区间；收盘承接不弱于近期胜出样本；相对大盘偏强,18,000559,万向钱潮,不推送,53.45,4.0,2.94,震荡,-0.96,0.44,2026-05-15,3,common_index_cache,4.96,2.5,4.0,0.583,1.59,7.19,2,7.0,intraday_1430,2026-05-18 14:30:00,人气Top20；当日上涨；温和放量；站上20日线且不过热；连续上榜确认；震荡市里保持相对强势,v3尾盘承接一般,v3
